R1_a_1, Holgura:0.0
R1_a_2, Holgura:0.0
R1_a_3, Holgura:0.0
R1_a_4, Holgura:0.0
R1_a_5, Holgura:0.0
R1_a_6, Holgura:0.0
R1_a_7, Holgura:0.0
R1_a_8, Holgura:0.0
R1_a_9, Holgura:0.0
R1_a_10, Holgura:0.0
R1_a_11, Holgura:0.0
R1_a_12, Holgura:0.0
R1_a_13, Holgura:0.0
R1_a_14, Holgura:0.0
R1_a_15, Holgura:0.0
R1_a_16, Holgura:0.0
R1_a_17, Holgura:0.0
R1_a_18, Holgura:0.0
R1_a_19, Holgura:0.0
R1_a_20, Holgura:0.0
R1_a_21, Holgura:0.0
R1_a_22, Holgura:0.0
R1_a_23, Holgura:0.0
R1_a_24, Holgura:0.0
R1_a_25, Holgura:0.0
R1_a_26, Holgura:0.0
R1_a_27, Holgura:0.0
R1_a_28, Holgura:0.0
R1_a_29, Holgura:0.0
R1_a_30, Holgura:0.0
R1_b_1, Holgura:0.0
R1_b_2, Holgura:0.0
R1_b_3, Holgura:0.0
R1_b_4, Holgura:0.0
R1_b_6, Holgura:0.0
R1_b_7, Holgura:0.0
R1_b_8, Holgura:0.0
R1_b_9, Holgura:0.0
R1_b_10, Holgura:0.0
R1_b_13, Holgura:0.0
R1_b_16, Holgura:0.0
R1_b_17, Holgura:0.0
R1_b_18, Holgura:0.0
R1_b_20, Holgura:0.0
R1_b_21, Holgura:0.0
R1_b_22, Holgura:0.0
R1_b_24, Holgura:0.0
R1_b_26, Holgura:0.0
R1_b_27, Holgura:0.0
R1_b_29, Holgura:0.0
R1_b_30, Holgura:0.0
R1_c_1, Holgura:0.0
R1_c_3, Holgura:0.0
R1_c_5, Holgura:0.0
R1_c_6, Holgura:0.0
R1_c_7, Holgura:0.0
R1_c_8, Holgura:0.0
R1_c_9, Holgura:0.0
R1_c_10, Holgura:0.0
R1_c_11, Holgura:0.0
R1_c_12, Holgura:0.0
R1_c_14, Holgura:0.0
R1_c_15, Holgura:0.0
R1_c_16, Holgura:0.0
R1_c_17, Holgura:0.0
R1_c_18, Holgura:0.0
R1_c_19, Holgura:0.0
R1_c_20, Holgura:0.0
R1_c_21, Holgura:0.0
R1_c_22, Holgura:0.0
R1_c_23, Holgura:0.0
R1_c_24, Holgura:0.0
R1_c_26, Holgura:0.0
R1_c_27, Holgura:0.0
R1_c_28, Holgura:0.0
R1_c_30, Holgura:0.0
R1_d_2, Holgura:0.0
R1_d_3, Holgura:0.0
R1_d_5, Holgura:0.0
R1_d_8, Holgura:0.0
R1_d_12, Holgura:0.0
R1_d_13, Holgura:0.0
R1_d_14, Holgura:0.0
R1_d_15, Holgura:0.0
R1_d_16, Holgura:0.0
R1_d_17, Holgura:0.0
R1_d_19, Holgura:0.0
R1_d_20, Holgura:0.0
R1_d_23, Holgura:0.0
R1_d_24, Holgura:0.0
R1_d_25, Holgura:0.0
R1_d_26, Holgura:0.0
R1_d_27, Holgura:0.0
R1_d_28, Holgura:0.0
R1_e_2, Holgura:0.0
R1_e_4, Holgura:0.0
R1_e_5, Holgura:0.0
R1_e_6, Holgura:0.0
R1_e_8, Holgura:0.0
R1_e_9, Holgura:0.0
R1_e_10, Holgura:0.0
R1_e_11, Holgura:0.0
R1_e_12, Holgura:0.0
R1_e_14, Holgura:0.0
R1_e_15, Holgura:0.0
R1_e_16, Holgura:0.0
R1_e_18, Holgura:0.0
R1_e_19, Holgura:0.0
R1_e_22, Holgura:0.0
R1_e_25, Holgura:0.0
R1_e_27, Holgura:0.0
R1_e_29, Holgura:0.0
R1_e_30, Holgura:0.0
R1_f_1, Holgura:0.0
R1_f_2, Holgura:0.0
R1_f_3, Holgura:0.0
R1_f_4, Holgura:0.0
R1_f_7, Holgura:0.0
R1_f_9, Holgura:0.0
R1_f_10, Holgura:0.0
R1_f_11, Holgura:0.0
R1_f_12, Holgura:0.0
R1_f_13, Holgura:0.0
R1_f_15, Holgura:0.0
R1_f_16, Holgura:0.0
R1_f_17, Holgura:0.0
R1_f_18, Holgura:0.0
R1_f_20, Holgura:0.0
R1_f_21, Holgura:0.0
R1_f_22, Holgura:0.0
R1_f_23, Holgura:0.0
R1_f_24, Holgura:0.0
R1_f_25, Holgura:0.0
R1_f_26, Holgura:0.0
R1_f_28, Holgura:0.0
R1_f_29, Holgura:0.0
R1_f_30, Holgura:0.0
R1_g_1, Holgura:0.0
R1_g_2, Holgura:0.0
R1_g_3, Holgura:0.0
R1_g_4, Holgura:0.0
R1_g_5, Holgura:0.0
R1_g_6, Holgura:0.0
R1_g_7, Holgura:0.0
R1_g_8, Holgura:0.0
R1_g_9, Holgura:0.0
R1_g_10, Holgura:0.0
R1_g_11, Holgura:0.0
R1_g_13, Holgura:0.0
R1_g_14, Holgura:0.0
R1_g_15, Holgura:0.0
R1_g_16, Holgura:0.0
R1_g_17, Holgura:0.0
R1_g_18, Holgura:0.0
R1_g_19, Holgura:0.0
R1_g_20, Holgura:0.0
R1_g_21, Holgura:0.0
R1_g_22, Holgura:0.0
R1_g_23, Holgura:0.0
R1_g_25, Holgura:0.0
R1_g_26, Holgura:0.0
R1_g_27, Holgura:0.0
R1_g_28, Holgura:0.0
R1_g_29, Holgura:0.0
R1_g_30, Holgura:0.0
R1_h_1, Holgura:0.0
R1_h_2, Holgura:0.0
R1_h_4, Holgura:0.0
R1_h_5, Holgura:0.0
R1_h_6, Holgura:0.0
R1_h_7, Holgura:0.0
R1_h_8, Holgura:0.0
R1_h_10, Holgura:0.0
R1_h_11, Holgura:0.0
R1_h_12, Holgura:0.0
R1_h_13, Holgura:0.0
R1_h_14, Holgura:0.0
R1_h_16, Holgura:0.0
R1_h_18, Holgura:0.0
R1_h_19, Holgura:0.0
R1_h_21, Holgura:0.0
R1_h_23, Holgura:0.0
R1_h_24, Holgura:0.0
R1_h_25, Holgura:0.0
R1_h_26, Holgura:0.0
R1_h_28, Holgura:0.0
R1_h_29, Holgura:0.0
R1_h_30, Holgura:0.0
R1_i_1, Holgura:0.0
R1_i_3, Holgura:0.0
R1_i_4, Holgura:0.0
R1_i_5, Holgura:0.0
R1_i_6, Holgura:0.0
R1_i_7, Holgura:0.0
R1_i_9, Holgura:0.0
R1_i_10, Holgura:0.0
R1_i_11, Holgura:0.0
R1_i_12, Holgura:0.0
R1_i_13, Holgura:0.0
R1_i_14, Holgura:0.0
R1_i_15, Holgura:0.0
R1_i_17, Holgura:0.0
R1_i_19, Holgura:0.0
R1_i_20, Holgura:0.0
R1_i_21, Holgura:0.0
R1_i_22, Holgura:0.0
R1_i_23, Holgura:0.0
R1_i_24, Holgura:0.0
R1_i_25, Holgura:0.0
R1_i_27, Holgura:0.0
R1_i_28, Holgura:0.0
R1_i_29, Holgura:0.0
R1_j_1, Holgura:0.0
R1_j_2, Holgura:0.0
R1_j_3, Holgura:0.0
R1_j_4, Holgura:0.0
R1_j_5, Holgura:0.0
R1_j_6, Holgura:0.0
R1_j_7, Holgura:0.0
R1_j_8, Holgura:0.0
R1_j_9, Holgura:0.0
R1_j_11, Holgura:0.0
R1_j_12, Holgura:0.0
R1_j_13, Holgura:0.0
R1_j_14, Holgura:0.0
R1_j_15, Holgura:0.0
R1_j_17, Holgura:0.0
R1_j_18, Holgura:0.0
R1_j_19, Holgura:0.0
R1_j_20, Holgura:0.0
R1_j_21, Holgura:0.0
R1_j_22, Holgura:0.0
R1_j_23, Holgura:0.0
R1_j_24, Holgura:0.0
R1_j_25, Holgura:0.0
R1_j_26, Holgura:0.0
R1_j_27, Holgura:0.0
R1_j_28, Holgura:0.0
R1_j_29, Holgura:0.0
R1_j_30, Holgura:0.0
R2_Club Atlético Puerto Varas_Club Atlético Puerto Varas_1, Holgura:0.0
R2_Club Atlético Puerto Varas_Club Atlético Puerto Varas_2, Holgura:0.0
R2_Club Atlético Puerto Varas_Club Atlético Puerto Varas_3, Holgura:0.0
R2_Club Atlético Puerto Varas_Club Atlético Puerto Varas_4, Holgura:0.0
R2_Club Atlético Puerto Varas_Club Atlético Puerto Varas_5, Holgura:0.0
R2_Club Atlético Puerto Varas_Club Atlético Puerto Varas_6, Holgura:0.0
R2_Club Atlético Puerto Varas_Club Atlético Puerto Varas_7, Holgura:0.0
R2_Club Atlético Puerto Varas_Club Atlético Puerto Varas_8, Holgura:0.0
R2_Club Atlético Puerto Varas_Club Atlético Puerto Varas_9, Holgura:0.0
R2_Club Atlético Puerto Varas_Club Atlético Puerto Varas_10, Holgura:0.0
R2_Club Atlético Puerto Varas_Club Atlético Puerto Varas_11, Holgura:0.0
R2_Club Atlético Puerto Varas_Club Atlético Puerto Varas_12, Holgura:0.0
R2_Club Atlético Puerto Varas_Club Atlético Puerto Varas_13, Holgura:0.0
R2_Club Atlético Puerto Varas_Club Atlético Puerto Varas_14, Holgura:0.0
R2_Club Atlético Puerto Varas_Club Atlético Puerto Varas_15, Holgura:0.0
R2_Club Atlético Puerto Varas_Club Atlético Puerto Varas_16, Holgura:0.0
R2_Club Atlético Puerto Varas_Club Atlético Puerto Varas_17, Holgura:0.0
R2_Club Atlético Puerto Varas_Club Atlético Puerto Varas_18, Holgura:0.0
R2_Club Atlético Puerto Varas_Club Atlético Puerto Varas_19, Holgura:0.0
R2_Club Atlético Puerto Varas_Club Atlético Puerto Varas_20, Holgura:0.0
R2_Club Atlético Puerto Varas_Club Atlético Puerto Varas_21, Holgura:0.0
R2_Club Atlético Puerto Varas_Club Atlético Puerto Varas_22, Holgura:0.0
R2_Club Atlético Puerto Varas_Club Atlético Puerto Varas_23, Holgura:0.0
R2_Club Atlético Puerto Varas_Club Atlético Puerto Varas_24, Holgura:0.0
R2_Club Atlético Puerto Varas_Club Atlético Puerto Varas_25, Holgura:0.0
R2_Club Atlético Puerto Varas_Club Atlético Puerto Varas_26, Holgura:0.0
R2_Club Atlético Puerto Varas_Club Atlético Puerto Varas_27, Holgura:0.0
R2_Club Atlético Puerto Varas_Club Atlético Puerto Varas_28, Holgura:0.0
R2_Club Atlético Puerto Varas_Club Atlético Puerto Varas_29, Holgura:0.0
R2_Club Atlético Puerto Varas_Club Atlético Puerto Varas_30, Holgura:0.0
R2_Club Atlético Puerto Varas_CD AB Temuco_1, Holgura:0.0
R2_Club Atlético Puerto Varas_CD AB Temuco_2, Holgura:0.0
R2_Club Atlético Puerto Varas_CD AB Temuco_3, Holgura:0.0
R2_Club Atlético Puerto Varas_CD AB Temuco_4, Holgura:0.0
R2_Club Atlético Puerto Varas_CD AB Temuco_5, Holgura:0.0
R2_Club Atlético Puerto Varas_CD AB Temuco_6, Holgura:0.0
R2_Club Atlético Puerto Varas_CD AB Temuco_7, Holgura:0.0
R2_Club Atlético Puerto Varas_CD AB Temuco_8, Holgura:0.0
R2_Club Atlético Puerto Varas_CD AB Temuco_9, Holgura:0.0
R2_Club Atlético Puerto Varas_CD AB Temuco_10, Holgura:0.0
R2_Club Atlético Puerto Varas_CD AB Temuco_11, Holgura:0.0
R2_Club Atlético Puerto Varas_CD AB Temuco_12, Holgura:0.0
R2_Club Atlético Puerto Varas_CD AB Temuco_13, Holgura:0.0
R2_Club Atlético Puerto Varas_CD AB Temuco_14, Holgura:0.0
R2_Club Atlético Puerto Varas_CD AB Temuco_15, Holgura:0.0
R2_Club Atlético Puerto Varas_CD AB Temuco_16, Holgura:0.0
R2_Club Atlético Puerto Varas_CD AB Temuco_17, Holgura:0.0
R2_Club Atlético Puerto Varas_CD AB Temuco_18, Holgura:0.0
R2_Club Atlético Puerto Varas_CD AB Temuco_19, Holgura:0.0
