R1_b_5, Holgura:1.0
R1_b_11, Holgura:1.0
R1_b_12, Holgura:1.0
R1_b_14, Holgura:1.0
R1_b_15, Holgura:1.0
R1_b_19, Holgura:1.0
R1_b_23, Holgura:1.0
R1_b_25, Holgura:1.0
R1_b_28, Holgura:1.0
R1_c_2, Holgura:1.0
R1_c_4, Holgura:1.0
R1_c_13, Holgura:1.0
R1_c_25, Holgura:1.0
R1_c_29, Holgura:1.0
R1_d_1, Holgura:1.0
R1_d_4, Holgura:1.0
R1_d_6, Holgura:1.0
R1_d_7, Holgura:1.0
R1_d_9, Holgura:1.0
R1_d_10, Holgura:1.0
R1_d_11, Holgura:1.0
R1_d_18, Holgura:1.0
R1_d_21, Holgura:1.0
R1_d_22, Holgura:1.0
R1_d_29, Holgura:1.0
R1_d_30, Holgura:1.0
R1_e_1, Holgura:1.0
R1_e_3, Holgura:1.0
R1_e_7, Holgura:1.0
R1_e_13, Holgura:1.0
R1_e_17, Holgura:1.0
R1_e_20, Holgura:1.0
R1_e_21, Holgura:1.0
R1_e_23, Holgura:1.0
R1_e_24, Holgura:1.0
R1_e_26, Holgura:1.0
R1_e_28, Holgura:1.0
R1_f_5, Holgura:1.0
R1_f_6, Holgura:1.0
R1_f_8, Holgura:1.0
R1_f_14, Holgura:1.0
R1_f_19, Holgura:1.0
R1_f_27, Holgura:1.0
R1_g_12, Holgura:1.0
R1_g_24, Holgura:1.0
R1_h_3, Holgura:1.0
R1_h_9, Holgura:1.0
R1_h_15, Holgura:1.0
R1_h_17, Holgura:1.0
R1_h_20, Holgura:1.0
R1_h_22, Holgura:1.0
R1_h_27, Holgura:1.0
R1_i_2, Holgura:1.0
R1_i_8, Holgura:1.0
R1_i_16, Holgura:1.0
R1_i_18, Holgura:1.0
R1_i_26, Holgura:1.0
R1_i_30, Holgura:1.0
R1_j_10, Holgura:1.0
R1_j_16, Holgura:1.0
R3_a_('CD Quilicura Basket', 'CD Arturo Prat de San Felipe', 1), Holgura:1.0
R3_a_('Club Andino de Los Ángeles', 'Club Atlético Puerto Varas', 1), Holgura:1.0
R3_a_('Estadio Palestino', 'CD Ceppi', 1), Holgura:1.0
R3_a_('Stadio Italiano', 'CD AB Temuco', 1), Holgura:1.0
R3_a_('Estadio Español', 'CD Brisas', 1), Holgura:1.0
R3_a_('CD Alemán de Concepción', 'CD Liceo Curicó', 1), Holgura:1.0
R3_a_('CD Arturo Prat de San Felipe', 'Estadio Palestino', 2), Holgura:1.0
R3_a_('CD AB Temuco', 'Estadio Español', 2), Holgura:1.0
R3_a_('CD Liceo Curicó', 'Stadio Italiano', 2), Holgura:1.0
R3_a_('CD Brisas', 'CD Quilicura Basket', 2), Holgura:1.0
R3_a_('CD La Unión', 'CD Manquehue', 2), Holgura:1.0
R3_a_('CD Ceppi', 'CD Alemán de Concepción', 2), Holgura:1.0
R3_a_('CD Quilicura Basket', 'CD Liceo Curicó', 3), Holgura:1.0
R3_a_('Stadio Italiano', 'CD Arturo Prat de San Felipe', 3), Holgura:1.0
R3_a_('Estadio Español', 'CD Ceppi', 3), Holgura:1.0
R3_a_('CD Manquehue', 'Club Atlético Puerto Varas', 3), Holgura:1.0
R3_a_('CD Brisas', 'CD AB Temuco', 3), Holgura:1.0
R3_a_('CD Alemán de Concepción', 'CD La Unión', 3), Holgura:1.0
R3_a_('CD Arturo Prat de San Felipe', 'CD Brisas', 4), Holgura:1.0
R3_a_('CD AB Temuco', 'CD Quilicura Basket', 4), Holgura:1.0
R3_a_('Club Andino de Los Ángeles', 'CD Manquehue', 4), Holgura:1.0
R3_a_('CD Liceo Curicó', 'Estadio Español', 4), Holgura:1.0
R3_a_('CD La Unión', 'Estadio Palestino', 4), Holgura:1.0
R3_a_('CD Ceppi', 'Stadio Italiano', 4), Holgura:1.0
R3_a_('CD Quilicura Basket', 'Club Atlético Puerto Varas', 5), Holgura:1.0
R3_a_('CD AB Temuco', 'Club Andino de Los Ángeles', 5), Holgura:1.0
R3_a_('Estadio Palestino', 'CD Liceo Curicó', 5), Holgura:1.0
R3_a_('Stadio Italiano', 'CD La Unión', 5), Holgura:1.0
R3_a_('Estadio Español', 'CD Arturo Prat de San Felipe', 5), Holgura:1.0
R3_a_('CD Boston College', 'CD Manquehue', 5), Holgura:1.0
R3_a_('CD Arturo Prat de San Felipe', 'CD AB Temuco', 6), Holgura:1.0
R3_a_('Club Atlético Puerto Varas', 'Stadio Italiano', 6), Holgura:1.0
R3_a_('Club Andino de Los Ángeles', 'CD Alemán de Concepción', 6), Holgura:1.0
R3_a_('CD Liceo Curicó', 'CD Boston College', 6), Holgura:1.0
R3_a_('CD Manquehue', 'Estadio Palestino', 6), Holgura:1.0
R3_a_('CD Ceppi', 'CD Quilicura Basket', 6), Holgura:1.0
R3_a_('CD Quilicura Basket', 'CD Manquehue', 7), Holgura:1.0
R3_a_('CD Arturo Prat de San Felipe', 'CD Ceppi', 7), Holgura:1.0
R3_a_('Estadio Palestino', 'Club Atlético Puerto Varas', 7), Holgura:1.0
R3_a_('Estadio Español', 'Club Andino de Los Ángeles', 7), Holgura:1.0
R3_a_('CD Brisas', 'CD Liceo Curicó', 7), Holgura:1.0
R3_a_('CD Alemán de Concepción', 'CD Boston College', 7), Holgura:1.0
R3_a_('Club Andino de Los Ángeles', 'Estadio Palestino', 8), Holgura:1.0
R3_a_('CD Liceo Curicó', 'CD Arturo Prat de San Felipe', 8), Holgura:1.0
R3_a_('CD Manquehue', 'CD Alemán de Concepción', 8), Holgura:1.0
R3_a_('CD Boston College', 'Stadio Italiano', 8), Holgura:1.0
R3_a_('CD La Unión', 'CD Quilicura Basket', 8), Holgura:1.0
R3_a_('CD Ceppi', 'CD AB Temuco', 8), Holgura:1.0
R3_a_('CD Quilicura Basket', 'Club Andino de Los Ángeles', 9), Holgura:1.0
R3_a_('CD Arturo Prat de San Felipe', 'CD Achao', 9), Holgura:1.0
R3_a_('CD AB Temuco', 'Club Atlético Puerto Varas', 9), Holgura:1.0
R3_a_('Estadio Palestino', 'CD Alemán de Concepción', 9), Holgura:1.0
R3_a_('Stadio Italiano', 'CD Manquehue', 9), Holgura:1.0
R3_a_('CD Ceppi', 'CD Liceo Curicó', 9), Holgura:1.0
R3_a_('Club Andino de Los Ángeles', 'CD Brisas', 10), Holgura:1.0
R3_a_('CD Liceo Curicó', 'CD AB Temuco', 10), Holgura:1.0
R3_a_('CD Manquehue', 'Estadio Español', 10), Holgura:1.0
R3_a_('CD Boston College', 'Estadio Palestino', 10), Holgura:1.0
R3_a_('CD La Unión', 'CD Ceppi', 10), Holgura:1.0
R3_a_('CD Alemán de Concepción', 'Stadio Italiano', 10), Holgura:1.0
R3_a_('CD Quilicura Basket', 'CD Alemán de Concepción', 11), Holgura:1.0
R3_a_('CD Arturo Prat de San Felipe', 'CD Manquehue', 11), Holgura:1.0
R3_a_('CD AB Temuco', 'CD Achao', 11), Holgura:1.0
R3_a_('Stadio Italiano', 'Estadio Palestino', 11), Holgura:1.0
R3_a_('CD Liceo Curicó', 'CD La Unión', 11), Holgura:1.0
R3_a_('CD Brisas', 'Club Atlético Puerto Varas', 11), Holgura:1.0
R3_a_('Club Atlético Puerto Varas', 'CD Liceo Curicó', 12), Holgura:1.0
R3_a_('Club Andino de Los Ángeles', 'Stadio Italiano', 12), Holgura:1.0
R3_a_('CD Manquehue', 'CD Brisas', 12), Holgura:1.0
R3_a_('CD Boston College', 'CD Quilicura Basket', 12), Holgura:1.0
R3_a_('CD La Unión', 'CD Arturo Prat de San Felipe', 12), Holgura:1.0
R3_a_('CD Alemán de Concepción', 'CD AB Temuco', 12), Holgura:1.0
R3_a_('CD Quilicura Basket', 'Stadio Italiano', 13), Holgura:1.0
R3_a_('CD Arturo Prat de San Felipe', 'Club Andino de Los Ángeles', 13), Holgura:1.0
R3_a_('CD AB Temuco', 'CD Boston College', 13), Holgura:1.0
R3_a_('CD Brisas', 'Estadio Palestino', 13), Holgura:1.0
R3_a_('CD La Unión', 'Club Atlético Puerto Varas', 13), Holgura:1.0
R3_a_('CD Ceppi', 'CD Manquehue', 13), Holgura:1.0
R3_a_('Club Atlético Puerto Varas', 'CD Ceppi', 14), Holgura:1.0
R3_a_('Club Andino de Los Ángeles', 'CD Liceo Curicó', 14), Holgura:1.0
R3_a_('Estadio Palestino', 'CD Quilicura Basket', 14), Holgura:1.0
R3_a_('CD Boston College', 'CD Arturo Prat de San Felipe', 14), Holgura:1.0
R3_a_('CD Achao', 'CD La Unión', 14), Holgura:1.0
