,Fechas,Local,Visita,Árbitro
0,01,CD Boston College,CD La Unión,a
1,01,Estadio Palestino,CD Ceppi,b
2,01,Club Andino de Los Ángeles,Club Atlético Puerto Varas,c
3,01,CD Alemán de Concepción,CD Liceo Curicó,f
4,01,Estadio Español,CD Brisas,g
5,01,CD Quilicura Basket,CD Arturo Prat de San Felipe,h
6,01,CD Manquehue,CD Achao,i
7,01,Stadio Italiano,CD AB Temuco,j
8,02,CD Achao,Club Andino de Los Ángeles,a
9,02,CD Liceo Curicó,Stadio Italiano,b
10,02,CD La Unión,CD Manquehue,d
11,02,CD Ceppi,CD Alemán de Concepción,e
12,02,CD Brisas,CD Quilicura Basket,f
13,02,CD AB Temuco,Estadio Español,g
14,02,Club Atlético Puerto Varas,CD Boston College,h
15,02,CD Arturo Prat de San Felipe,Estadio Palestino,j
16,03,CD Boston College,Club Andino de Los Ángeles,a
17,03,Stadio Italiano,CD Arturo Prat de San Felipe,b
18,03,Estadio Español,CD Ceppi,c
19,03,CD Brisas,CD AB Temuco,d
20,03,CD Quilicura Basket,CD Liceo Curicó,f
21,03,CD Manquehue,Club Atlético Puerto Varas,g
22,03,Estadio Palestino,CD Achao,i
23,03,CD Alemán de Concepción,CD La Unión,j
24,04,CD Achao,CD Boston College,a
25,04,CD Ceppi,Stadio Italiano,b
26,04,Club Atlético Puerto Varas,CD Alemán de Concepción,e
27,04,CD Liceo Curicó,Estadio Español,f
28,04,Club Andino de Los Ángeles,CD Manquehue,g
29,04,CD La Unión,Estadio Palestino,h
30,04,CD AB Temuco,CD Quilicura Basket,i
31,04,CD Arturo Prat de San Felipe,CD Brisas,j
32,05,CD Brisas,CD Ceppi,a
33,05,CD Quilicura Basket,Club Atlético Puerto Varas,c
34,05,Stadio Italiano,CD La Unión,d
35,05,CD Alemán de Concepción,CD Achao,e
36,05,CD Boston College,CD Manquehue,g
37,05,Estadio Español,CD Arturo Prat de San Felipe,h
38,05,Estadio Palestino,CD Liceo Curicó,i
39,05,CD AB Temuco,Club Andino de Los Ángeles,j
40,06,CD Achao,Estadio Español,a
41,06,Club Atlético Puerto Varas,Stadio Italiano,b
42,06,CD Ceppi,CD Quilicura Basket,c
43,06,CD La Unión,CD Brisas,e
44,06,CD Liceo Curicó,CD Boston College,g
45,06,Club Andino de Los Ángeles,CD Alemán de Concepción,h
46,06,CD Manquehue,Estadio Palestino,i
47,06,CD Arturo Prat de San Felipe,CD AB Temuco,j
48,07,CD AB Temuco,CD La Unión,a
49,07,CD Quilicura Basket,CD Manquehue,b
50,07,CD Alemán de Concepción,CD Boston College,c
51,07,CD Arturo Prat de San Felipe,CD Ceppi,f
52,07,Estadio Español,Club Andino de Los Ángeles,g
53,07,Stadio Italiano,CD Achao,h
54,07,Estadio Palestino,Club Atlético Puerto Varas,i
55,07,CD Brisas,CD Liceo Curicó,j
56,08,CD Achao,CD Brisas,a
57,08,CD Liceo Curicó,CD Arturo Prat de San Felipe,b
58,08,CD Ceppi,CD AB Temuco,c
59,08,CD La Unión,CD Quilicura Basket,d
60,08,Club Atlético Puerto Varas,Estadio Español,e
61,08,CD Manquehue,CD Alemán de Concepción,g
62,08,CD Boston College,Stadio Italiano,h
63,08,Club Andino de Los Ángeles,Estadio Palestino,j
64,09,CD Brisas,CD Boston College,a
65,09,CD Arturo Prat de San Felipe,CD Achao,b
66,09,Estadio Palestino,CD Alemán de Concepción,c
67,09,CD AB Temuco,Club Atlético Puerto Varas,e
68,09,CD Quilicura Basket,Club Andino de Los Ángeles,f
69,09,Estadio Español,CD La Unión,g
70,09,CD Ceppi,CD Liceo Curicó,i
71,09,Stadio Italiano,CD Manquehue,j
72,10,Club Atlético Puerto Varas,CD Arturo Prat de San Felipe,a
73,10,CD Boston College,Estadio Palestino,b
74,10,CD Alemán de Concepción,Stadio Italiano,c
75,10,CD Achao,CD Quilicura Basket,e
76,10,CD La Unión,CD Ceppi,f
77,10,CD Manquehue,Estadio Español,g
78,10,CD Liceo Curicó,CD AB Temuco,h
79,10,Club Andino de Los Ángeles,CD Brisas,i
80,11,Estadio Español,CD Boston College,a
81,11,CD AB Temuco,CD Achao,c
82,11,CD Liceo Curicó,CD La Unión,e
83,11,CD Quilicura Basket,CD Alemán de Concepción,f
84,11,Stadio Italiano,Estadio Palestino,g
85,11,CD Ceppi,Club Andino de Los Ángeles,h
86,11,CD Brisas,Club Atlético Puerto Varas,i
87,11,CD Arturo Prat de San Felipe,CD Manquehue,j
88,12,CD Achao,CD Ceppi,a
89,12,CD Boston College,CD Quilicura Basket,c
90,12,CD La Unión,CD Arturo Prat de San Felipe,d
91,12,CD Alemán de Concepción,CD AB Temuco,e
92,12,Club Atlético Puerto Varas,CD Liceo Curicó,f
93,12,CD Manquehue,CD Brisas,h
